Type                                  Module                      Label             Process      
-------------------------------------------------------------------------------------------------
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"        
edm::TriggerResults                   "TriggerResults"            ""                "HLT"        
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"        
FEDRawDataCollection                  "rawDataCollector"          ""                "LHC"        
BXVector<GlobalAlgBlk>                "gtStage2Digis"             ""                "RESELECT"   
BXVector<GlobalExtBlk>                "gtStage2Digis"             ""                "RESELECT"   
BXVector<l1t::CaloTower>              "caloStage2Digis"           "CaloTower"       "RESELECT"   
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "RESELECT"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma"          "RESELECT"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma2"         "RESELECT"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma3"         "RESELECT"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma4"         "RESELECT"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma5"         "RESELECT"   
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma6"         "RESELECT"   
BXVector<l1t::EGamma>                 "caloStage2Digis"           "MP"              "RESELECT"   
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "RESELECT"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum"           "RESELECT"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum2"          "RESELECT"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum3"          "RESELECT"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum4"          "RESELECT"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum5"          "RESELECT"   
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum6"          "RESELECT"   
BXVector<l1t::EtSum>                  "caloStage2Digis"           "MP"              "RESELECT"   
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "RESELECT"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet"             "RESELECT"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet2"            "RESELECT"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet3"            "RESELECT"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet4"            "RESELECT"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet5"            "RESELECT"   
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet6"            "RESELECT"   
BXVector<l1t::Jet>                    "caloStage2Digis"           "MP"              "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "Muon"            "RESELECT"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon"            "RESELECT"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon2"           "RESELECT"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon3"           "RESELECT"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon4"           "RESELECT"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon5"           "RESELECT"   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon6"           "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy1"       "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy2"       "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy3"       "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy4"       "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy5"       "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsBMTF"    "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFNeg"   "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFPos"   "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFNeg"   "RESELECT"   
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFPos"   "RESELECT"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "BMTF"            "RESELECT"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "EMTF"            "RESELECT"   
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "OMTF"            "RESELECT"   
BXVector<l1t::Tau>                    "caloStage2Digis"           "MP"              "RESELECT"   
BXVector<l1t::Tau>                    "caloStage2Digis"           "Tau"             "RESELECT"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau"             "RESELECT"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau2"            "RESELECT"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau3"            "RESELECT"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau4"            "RESELECT"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau5"            "RESELECT"   
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau6"            "RESELECT"   
CTPPSRecord                           "onlineMetaDataDigis"       ""                "RESELECT"   
ClusterSummary                        "clusterSummaryProducer"    ""                "RESELECT"   
DCSRecord                             "onlineMetaDataDigis"       ""                "RESELECT"   
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "RESELECT"   
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "RESELECT"   
EcalTrigPrimCompactColl               "ecalCompactTrigPrim"       ""                "RESELECT"   
HcalDataFrameContainer<QIE10DataFrame>    "hcalDigis"                 "ZDC"             "RESELECT"   
HcalNoiseSummary                      "hcalnoise"                 ""                "RESELECT"   
HcalUnpackerReport                    "castorDigis"               ""                "RESELECT"   
HcalUnpackerReport                    "hcalDigis"                 ""                "RESELECT"   
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RESELECT"   
L1MuGMTReadoutCollection              "gtDigis"                   ""                "RESELECT"   
OnlineLuminosityRecord                "onlineMetaDataDigis"       ""                "RESELECT"   
TCDSRecord                            "tcdsDigis"                 "tcdsRecord"      "RESELECT"   
TotemTriggerCounters                  "totemTriggerRawToDigi"     ""                "RESELECT"   
double                                "fixedGridRhoAll"           ""                "RESELECT"   
double                                "fixedGridRhoFastjetAll"    ""                "RESELECT"   
double                                "fixedGridRhoFastjetAllCalo"   ""                "RESELECT"   
double                                "fixedGridRhoFastjetAllTmp"   ""                "RESELECT"   
double                                "fixedGridRhoFastjetCentral"   ""                "RESELECT"   
double                                "fixedGridRhoFastjetCentralCalo"   ""                "RESELECT"   
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "RESELECT"   
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "RESELECT"   
double                                "ak4CaloJets"               "rho"             "RESELECT"   
double                                "ak4PFJets"                 "rho"             "RESELECT"   
double                                "ak4PFJetsCHS"              "rho"             "RESELECT"   
double                                "ak4TrackJets"              "rho"             "RESELECT"   
double                                "ak5CastorJets"             "rho"             "RESELECT"   
double                                "ak7CastorJets"             "rho"             "RESELECT"   
